2025-10-17 14:39:22:228 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Cash Balance 6562.1 | 
2025-10-17 14:39:22:228 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining LTP 31.45 | 
2025-10-17 14:39:22:229 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Lot size 75 | 
2025-10-17 14:39:22:230 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining No. of Lots 2 | 
2025-10-17 14:39:22:231 | INFO     | trade_logic.py            | position_data_update      | Updating position 45283: Setting 'latest_price' to 104.5 | 
2025-10-17 14:39:22:232 | DEBUG    | trade_logic.py            | calculate_point_difference | Calculating point difference: Buy Price = 257.15, Current Price = 104.5 | 
2025-10-17 14:39:22:233 | DEBUG    | trade_logic.py            | calculate_pctg_difference | Calculating percentage difference: Buy Price = 257.15, Current Price = 104.5 | 
2025-10-17 14:39:22:233 | DEBUG    | trade_logic.py            | position_data_update      | Updated 45283:latest_price to 104.5 | 
2025-10-17 14:39:22:234 | INFO     | trade_logic.py            | update_weekly_positions   | Updating weekly option 45283: Setting 'ltp' to 104.5 | 
2025-10-17 14:39:22:235 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Cash Balance 6562.1 | 
2025-10-17 14:39:22:236 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining LTP 104.5 | 
2025-10-17 14:39:22:237 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Lot size 75 | 
2025-10-17 14:39:22:238 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining No. of Lots 0 | 
2025-10-17 14:39:22:239 | INFO     | trade_logic.py            | update_weekly_positions   | Updating weekly option 45282: Setting 'ltp' to 59.55 | 
2025-10-17 14:39:22:239 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Cash Balance 6562.1 | 
2025-10-17 14:39:22:240 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining LTP 59.55 | 
2025-10-17 14:39:22:241 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Lot size 75 | 
